Year,№,D1,CWT1,D2,CWT2,D3,CWT3,D4,CWT4,D5,CWT5
1900,1,29.732191701749418,1.9786200321362784,30.939511034552552,2.3806633418316454,52.04498460759043,2.718183648125418,50.164902537338136,2.054598117219572,43.01612528038199,2.5844351377273975
1900,2,34.75990926790737,2.0445642564987234,45.20638098102689,2.415746861784829,38.693274282880246,2.553284966304332,42.98075107574639,2.126673448641511,58.21275307584374,2.4881298077035816
1900,3,33.96383456915837,2.1274537890735408,40.8881621679832,2.5170268450082096,52.12815479335021,2.242872700450992,37.23851104285789,2.1690346985907407,53.15059306000203,2.3976787967786
1900,4,34.58967454682322,2.0549132785677604,39.81633207037134,2.3566745222412857,35.32694827754118,2.4974272981700985,39.92343842399518,1.855345433138503,46.979474680827025,2.324768133316984
1900,5,39.90802029906837,2.084306016814971,45.55174503939559,2.0881174518607803,42.80743057214861,2.3384208905125026,48.15998556489066,2.032775733599033,45.456906176951335,2.422897970801424
1900,6,40.32986011491925,1.976174414609261,43.50379224578901,2.1224760878575113,45.80101057778516,2.4470378325365987,53.88407328748005,1.9625690089669483,44.86039522089422,2.442225401986632
1900,7,38.57425346857836,1.7229515590529965,41.704462294119274,2.1181465518549976,33.06125951667799,2.1527849630498754,54.31007089301837,1.9118283972277132,46.66369790890579,2.4926610342035898
1900,8,37.25478503287706,1.6784388500763847,36.63477609773606,2.0942121814906924,40.51630289969548,2.1026168197859008,36.899022163993294,1.867902935349562,48.9887341415544,2.517335755734672
1900,9,38.8741796825828,1.8173178456366337,37.435164832521764,2.1732837010871218,44.55879434207945,2.3731090769012755,43.62683897840691,2.050406874030077,34.42720226245288,2.1331914391551217
1900,10,36.74487860727124,2.093754757274337,41.60855357071924,2.4591704556384992,44.50567395448932,2.309057812990948,41.224837809151396,2.084307998814964,43.984947517486525,2.698305551792718
1900,11,32.66840790756477,2.207231235332082,40.25034067078507,2.140126757901904,41.90970828338223,1.8495058421325101,37.3961721314699,2.003362631966215,44.00848588846971,2.5241263006518326
1900,12,34.768340771535435,2.0052816661147403,40.51439540999314,2.025541046604383,35.38529744597493,1.6117642721726166,39.58864816919708,2.3135611841290755,40.33857355029251,2.8160598799516334
